"registro","iddispositivo","variable","valor","fecha"
"1","sensor_corriente_1","corriente","2.6","2018-05-17 16:29:54"
"2","sensor_corriente_1","corriente","3.5","2018-05-17 16:31:02"
"3","sensor_corriente_1","corriente","2.9","2018-05-17 16:31:09"
"4","sensor_corriente_1","corriente","1.8","2018-05-17 16:31:19"
"5","sensor_corriente_1","corriente","3.68","2018-05-17 16:31:29"
"6","sensor_corriente_1","corriente","4.7","2018-05-17 16:31:44"
"7","sensor_corriente_1","corriente","5.2","2018-05-17 16:31:57"
"349","sensor_corriente_1","corriente","3.1","2018-05-29 20:03:29"
"362","sensor_corriente_1","corriente","1.042","2018-06-16 01:06:23"
"364","sensor_corriente_1","corriente","2.227","2018-06-16 01:06:33"
"366","sensor_corriente_1","corriente","1.596","2018-06-16 01:06:36"
"367","sensor_corriente_1","corriente","1.507","2018-06-16 01:06:38"
"369","sensor_corriente_1","corriente","1.055","2018-06-16 01:06:42"
"371","sensor_corriente_1","corriente","1.831","2018-06-16 01:07:11"
"373","sensor_corriente_1","corriente","1.612","2018-06-16 01:07:13"
"375","sensor_corriente_1","corriente","1.072","2018-06-16 01:07:25"
"377","sensor_corriente_1","corriente","1.082","2018-06-16 02:11:31"
"379","sensor_corriente_1","corriente","1.079","2018-06-16 02:14:32"
"384","sensor_corriente_1","corriente","1.105","2018-06-16 02:28:22"
"386","sensor_corriente_1","corriente","1.853","2018-06-16 02:29:09"
"388","sensor_corriente_1","corriente","1.648","2018-06-16 02:29:10"
"389","sensor_corriente_1","corriente","1.692","2018-06-16 02:29:20"
"390","sensor_corriente_1","corriente","1.65","2018-06-16 02:29:23"
"392","sensor_corriente_1","corriente","1.784","2018-06-16 02:29:40"
"394","sensor_corriente_1","corriente","1.663","2018-06-16 02:29:42"
"396","sensor_corriente_1","corriente","2.373","2018-06-16 02:29:44"
"398","sensor_corriente_1","corriente","1.583","2018-06-16 02:29:45"
"399","sensor_corriente_1","corriente","1.627","2018-06-16 02:29:48"
"400","sensor_corriente_1","corriente","1.53","2018-06-16 02:29:49"
"402","sensor_corriente_1","corriente","1.857","2018-06-16 02:29:52"
"403","sensor_corriente_1","corriente","1.78","2018-06-16 02:29:53"
"405","sensor_corriente_1","corriente","2.688","2018-06-16 02:29:56"
"406","sensor_corriente_1","corriente","2.631","2018-06-16 02:29:56"
"408","sensor_corriente_1","corriente","1.562","2018-06-16 02:29:58"
"409","sensor_corriente_1","corriente","1.639","2018-06-16 02:30:00"
"410","sensor_corriente_1","corriente","1.552","2018-06-16 02:30:00"
"412","sensor_corriente_1","corriente","1.678","2018-06-16 02:30:53"
"413","sensor_corriente_1","corriente","1.709","2018-06-16 02:30:55"
"415","sensor_corriente_1","corriente","1.841","2018-06-16 02:30:57"
"417","sensor_corriente_1","corriente","2.171","2018-06-16 02:30:58"
"419","sensor_corriente_1","corriente","1.59","2018-06-16 02:31:01"
"420","sensor_corriente_1","corriente","1.565","2018-06-16 02:31:03"
"421","sensor_corriente_1","corriente","1.57","2018-06-16 02:31:08"
"422","sensor_corriente_1","corriente","1.601","2018-06-16 02:31:13"
"423","sensor_corriente_1","corriente","1.53","2018-06-16 02:31:40"
"427","sensor_corriente_1","corriente","1.047","2018-06-16 02:32:34"
